LOCATION,NAME,FACILITY_TYPE,WEBLINK,FACILITY_SUBTYPE,FACILITYID,LONGITUDE,LATITUDE
5730 176A ST,Cloverdale RCMP Community Policing,RCMP,http://www.surreyrcmp.ca,,1001223081,-122.73343412033363,49.106606285820504
10350 UNIVERSITY DR,City Centre Library,Library,http://www.surreylibraries.ca/location-hours/4682.aspx,,1001223090,-122.84939518721362,49.19065527947007
13530 72 AVE,Newton Cultural Centre,Community Hall/Centre,http://www.artscouncilofsurrey.ca/html/aboutus.htm,,1001222917,-122.84710163881103,49.133234116876686
13458 107A AVE,Chuck Bailey Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1914.aspx,,1001222918,-122.84927999279978,49.19687767664901
13723 CRESCENT RD,Historic Stewart Farm,Attraction,http://www.surrey.ca/culture-recreation/2875.aspx,,1001222925,-122.84200906496108,49.065085345526064
14250 CRESCENT RD,Elgin Community Hall,Community Hall/Centre,http://www.surrey.ca/culture-recreation/6054.aspx,,1001222927,-122.82742752970255,49.0668711979691
11475 126A ST,Bridgeview Community Centre,Community Hall/Centre,http://www.surrey.ca/culture-recreation/11534.aspx,,1001222928,-122.87171477130532,49.2112180546691
6188 176 ST,Cloverdale Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/8524.aspx,,1001356175,-122.7340582770848,49.115200654510105
13795 70 AVE,Newton Library,Library,http://www.surreylibraries.ca/location-hours/4670.aspx,,1001222933,-122.8397031530448,49.130294500288734
7278 132 ST,Fire Hall # 10,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222935,-122.85610495369666,49.13516956597054
2610 128 ST,Fire Hall # 12,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222942,-122.86690520692348,49.049679782595156
7235 137 ST,Newton RCMP Community Policing Station District 3,RCMP,http://www.surreyrcmp.ca,,1001222945,-122.84328697196737,49.1342708242182
14915 64 Ave,Fire Service Training Centre,Fire,,,1002162339,-122.8091557142732,49.119772701903145
14255 56 AVE,North Annex,Municipal,http://www.surrey.ca,,1001222947,-122.82736830590332,49.10658105452978
14340 57 AVE,Provincial Court,Justice,http://www.provincialcourt.bc.ca/court-location/surrey,,1001356200,-122.82490910251525,49.10574395391522
"
10662 148 ST",Holly Pool,Swimming Pool,http://www.surrey.ca/culture-recreation/14047.aspx,,1001222948,-122.81178540443977,49.19637384512822
15155 18 AVE,Fire Hall # 13,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222949,-122.8020847615214,49.03505954635487
15329 32 AVE,Fire Hall # 17,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222950,-122.79742859239302,49.06125569622509
9049 152 ST,Fire Hall # 06,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222951,-122.80196565203941,49.1672460294094
10042 176 ST,Fire Hall # 05,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222953,-122.73384025872247,49.18484754401504
10588 160 ST,Fraser Heights Recreation Centre,Recreation Centre,http://www.surrey.ca/culture-recreation/1928.aspx,,1001222955,-122.77725013919574,49.195071603038215
8091 164 ST,Fire Hall # 18,Fire,http://www.surrey.ca/city-services/4696.aspx,,1001222956,-122.76811945350391,49.14989105503547
18885 88 AVE,Port Kells Library,Library,http://www.surreylibraries.ca/location-hours/4688.aspx,,1001222958,-122.69966553352621,49.163075855964514
6082 142 ST,Woodward Hill Elementary School,School,https://www.surreyschools.ca/schools/woodwardhill/Pages/default.aspx,Elementary,1001234425,-122.8277910793735,49.113331363909154
,Pacific Inn & Conference Centre,Hotel,http://www.pacificinn.com/,,1001232830,-122.7642949928361,49.02320094356117
15250 54A AVE,Roots and Wings Montessori,School,http://www.rootsandwingsbc.com/,Private,1001235096,-122.79957143584808,49.101257538583646
13409 72 AVE,Newton Auto Care,Garbage and Recycling,http://www.newtonautocare.com/,Used Oil,1001239186,-122.85088913815945,49.13397739120597
12405 100 AVE,Prince Charles Elementary School,School,https://www.surreyschools.ca/schools/princecharles/Pages/default.aspx,Elementary,1001236302,-122.87701539548164,49.18541076875244
18035 8 AVE,Hall's Prairie Elementary School,School,https://www.surreyschools.ca/schools/hallsprairie/Pages/default.aspx,Elementary,1001241511,-122.72292671650777,49.01725133288848
6677 140 ST,Hyland Elementary School,School,https://www.surreyschools.ca/schools/hyland/Pages/default.aspx,Elementary,1001245761,-122.8360362863109,49.123692191725
1739 148 ST,H.T. Thrift Elementary School,School,https://www.surreyschools.ca/schools/htthrift/Pages/default.aspx,Elementary,1001242741,-122.81304726937002,49.033496811379656
14781 104 AVE,Hjorth Road Elementary School,School,https://www.surreyschools.ca/schools/hjorthroad/Pages/default.aspx,Elementary,1001239554,-122.81319123076612,49.19207608904674
14439 104 AVE,Surrey Board of Trade,Other,http://www.businessinsurrey.com,,1001245453,-122.8221134354796,49.19180106273001
1880 LARONDE DR,Laronde (French Immersion) Elementary School,School,https://www.surreyschools.ca/schools/laronde/Pages/default.aspx,Elementary,1001246738,-122.857259946147,49.03560734560129
8305 122A ST,Kennedy Trail Elementary School,School,https://www.surreyschools.ca/schools/kennedytrail/Pages/default.aspx,Elementary,1001251320,-122.88356093437434,49.15400797733691
,Surrey Central Inn,Hotel,http://surreycentralinn.com/,,1001254586,-122.83576060573623,49.19200591378879
15181 FRASER HWY,Mr. Lube (Fleetwood),Garbage and Recycling,http://www.mrlube.com/en/Mr-Lube-Near-You/Locate-a-Mr-Lube/surrey-15181-fraser-highway.aspx?storeid=34&code=pc,Used Oil,1001254438,-122.80174905473082,49.166912678264126
10504 139 ST,Our Lady Of Good Counsel,School,http://www.olgcschool.ca,Private,1001254922,-122.83536770889668,49.193466054180654
13140 88 AVE,Jenill Recycling,Garbage and Recycling,http://www.return-it.ca/locations/metro-vancouver/surrey/jenill-recycling/,Bottle Depot,1001255595,-122.85884118052596,49.16206343138879
,Pacific Highway Border Crossing (Truck Crossing),Other,,,1001263698,-122.73414783819744,49.00301104642862
13838 91 AVE,Creekside Elementary School,School,https://www.surreyschools.ca/schools/creekside/Pages/default.aspx,Elementary,1001269436,-122.83880790454974,49.167554599100896
,Ramada,Hotel,http://www.ramadalangleysurrey.com/,,1001269842,-122.69040997363119,49.10521900395542
1730 142 ST,Bayridge Elementary School,School,https://www.surreyschools.ca/schools/bayridge/Pages/default.aspx,Elementary,1001267692,-122.82797863371647,49.03383901413227
15093 FRASER HWY,Fleetwood Bottle Return Depot,Garbage and Recycling,https://www.return-it.ca/locations/fleetwood-bottle-depot/,Bottle Depot,1001270960,-122.80419016762696,49.16756679466627
6329 KING GEORGE BLVD,Newton Learning Centre,School,http://www.sd36.bc.ca,Elementary,1001272561,-122.84625359737139,49.11798743484689
17465 60 AVE,William of Orange Christian School,School,http://www.credochs.com/wohome.cfm,Private,1001272892,-122.73891419345348,49.11261571551097
2656 160 ST,Southridge Senior Secondary School,School,http://www.southridge.bc.ca/,Private,1001283485,-122.77595308456019,49.050407779197144
14530 104 AVE,Dams Ford Lincoln Sales Ltd.,Garbage and Recycling,http://damsfordloln.dealerconnection.com/,Used Oil,1001279751,-122.8200509570703,49.1907023009164
2025 152 ST,North Bluff Shell,Garbage and Recycling,http://www.shell.ca/en/products-services/shell-for-drivers/station-locator.html,Used Oil,1001279002,-122.801721147946,49.038750910586614
16545 61 AVE,A.J. McLellan Elementary School,School,https://www.surreyschools.ca/schools/ajmclellan/Pages/default.aspx,Elementary,1001284098,-122.763659485025,49.11413524588646
16590 96 AVE,PLEA (Waypoint) program,School,http://redbookonline.bc211.ca/service/9508129_9508129/waypoint_program,Programs and Services,1001289102,-122.76228126841941,49.176704178395866
15372 94 AVE,Berkshire Park Elementary School,School,https://www.surreyschools.ca/schools/berkshirepark/Pages/default.aspx,Elementary,1001293492,-122.79678305743275,49.172781078706066
